id,animals,climateactions,consequences,setting,type
id_1121177724893184001_2019-04-24,ALL,No,no class found,"No Setting|Forest, Jungle",Meme
id_1113421365359587328_2019-04-03,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1195318425297522689_2019-11-15,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1178653978759811072_2019-09-30,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,Residential Area,Meme
id_1176550932215025665_2019-09-24,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,Residential Area,Meme
id_1118908606072725509_2019-04-18,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1192391447942746118_2019-11-07,ALL,Natural Gas,no class found,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1169724031714639873_2019-09-05,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Other Setting|Industrial Area|Forest, Jungle",Meme
id_1156573239147188226_2019-07-31,ALL,Natural Gas,no class found,ALL,Meme
id_1106209756082069505_2019-03-14,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1193616049406709761_2019-11-10,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1108055515169468418_2019-03-19,Amphibians,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1196836989430947841_2019-11-19,ALL,Natural Gas,Economic Consequences|Rising Temperature,"No Setting|Forest, Jungle",Meme
id_1175432973488967681_2019-09-21,ALL,Coal|Wind Energy|Solar Energy|Politics|Other Climate Action|Natural Gas,no class found,ALL,Meme
id_1107057078248656896_2019-03-16,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1175148194713370626_2019-09-20,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1107686568628809729_2019-03-18,ALL,Other Climate Action,ALL,"Other Nature|Forest, Jungle",Meme
id_1196263265799507969_2019-11-18,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1175406398290554882_2019-09-21,ALL,Natural Gas,no class found,Other,Meme
id_1169688945472495620_2019-09-05,ALL,No,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1193414244454338560_2019-11-10,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1194375821449805825_2019-11-12,Amphibians|Invertebrates|Farm Animals,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1170728323363684353_2019-09-08,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1106604651925901312_2019-03-15,ALL,Other Climate Action,no class found,"No Setting|Forest, Jungle",Meme
id_1169832742613221376_2019-09-06,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1106842708092616705_2019-03-16,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1122307044063744001_2019-04-28,ALL,Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1116247809093718016_2019-04-11,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1148642294612054019_2019-07-09,Amphibians,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1173128703578013696_2019-09-15,Other Animals|Pets|Polar Bears|Invertebrates|Farm Animals|Land Mammals|Insects|Sea Mammals|Fish|Amphibians|Reptiles,No,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1105174831002210305_2019-03-11,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1176922340644536320_2019-09-25,ALL,Natural Gas,no class found,"No Setting|Forest, Jungle",Meme
id_1120689684588498944_2019-04-23,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1170740068572684289_2019-09-08,ALL,Natural Gas,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1177227296975065088_2019-09-26,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1176543923507888129_2019-09-24,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1176906719701741570_2019-09-25,ALL,ALL,no class found,ALL,Meme
id_1123348596852707328_2019-04-30,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1173689917211402248_2019-09-16,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1152945614117842944_2019-07-21,ALL,Natural Gas,Economic Consequences|Covid|Floods,"No Setting|Forest, Jungle",Meme
id_1109982130166263811_2019-03-25,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Economic Consequences|Covid|Floods,no class found,Meme
id_1113106309698613250_2019-04-02,ALL,Protests|Natural Gas,Economic Consequences|Covid|Floods,"Other Setting|Ocean|Indoor Space|Residential Area|Arctic, Antarctica|Other Nature|No Setting|Commercial Area|Industrial Area|Forest, Jungle|Agricultural|Coastal|Rural|Outer Space",Meme
id_1170435883604033537_2019-09-07,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1110266959319437313_2019-03-25,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Economic Consequences|Covid|Floods,"Other Setting|Industrial Area|Forest, Jungle",Meme
id_1121119602996473856_2019-04-24,ALL,Coal|Wind Energy|Solar Energy|Politics|Other Climate Action|Natural Gas,no class found,"Other Setting|Ocean|Indoor Space|Residential Area|Arctic, Antarctica|Other Nature|No Setting|Commercial Area|Industrial Area|Forest, Jungle|Agricultural|Coastal|Rural|Outer Space",Meme
id_1172235314443800576_2019-09-12,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1150039207651545088_2019-07-13,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1149066557705900032_2019-07-10,ALL,Natural Gas,no class found,no class found,Meme
id_1146686507757035520_2019-07-04,Amphibians,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Agricultural|Desert|Forest, Jungle",Meme
id_1151904062729850881_2019-07-18,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1176541618884579329_2019-09-24,ALL,No,Economic Consequences|Covid|Floods,no class found,Meme
id_1176268135747469323_2019-09-23,Amphibians,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1144250792217649154_2019-07-01,Amphibians,Hydropower,Economic Consequences|Covid|Floods,"Arctic, Antarctica|Forest, Jungle",Meme
id_1114532057437204481_2019-04-06,ALL,Other Climate Action,no class found,no class found,Meme
id_1155194677307383808_2019-07-27,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Other Setting|Ocean|Indoor Space|Residential Area|Arctic, Antarctica|Other Nature|No Setting|Commercial Area|Industrial Area|Forest, Jungle|Agricultural|Coastal|Rural|Outer Space",Meme
id_1145781258443620353_2019-07-01,Invertebrates|Birds|Fish|Amphibians|Reptiles,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1115286068436381697_2019-04-08,ALL,ALL,no class found,Other,Meme
id_1103773802935152640_2019-03-07,ALL,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1121366062107377664_2019-04-25,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,Residential Area,Meme
id_1121361473282899969_2019-04-25,Amphibians|Invertebrates|Farm Animals,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1107853940077453313_2019-03-19,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1141126101944524800_2019-06-18,Other Animals|Pets|Polar Bears|Invertebrates|Farm Animals|Land Mammals|Insects|Sea Mammals|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1177247722216349696_2019-09-26,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1156545368693325824_2019-07-31,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1169664313813946368_2019-09-05,ALL,Natural Gas,no class found,"No Setting|Forest, Jungle",Meme
id_1120378997681139712_2019-04-22,ALL,Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1152388743489294336_2019-07-20,Invertebrates|Birds|Fish|Amphibians|Reptiles,Protests|Natural Gas,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1110435047423782912_2019-03-26,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1172566761486598145_2019-09-13,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"No Setting|Forest, Jungle",Meme
id_1152324446792769538_2019-07-19,ALL,Other Climate Action,Economic Consequences|Covid|Floods,no class found,Meme
id_1154409736172900353_2019-07-25,ALL,Other Climate Action,Economic Consequences|Covid|Floods,"Commercial Area|Forest, Jungle|Indoor Space",Meme
id_1111811778952912897_2019-03-30,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1148297272465252352_2019-07-08,ALL,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,no class found,Meme
id_1152158691744997376_2019-07-19,Invertebrates|Birds|Fish|Amphibians|Reptiles,Other Climate Action,Melting Ice|Other Extreme Weather Events|Covid,"Commercial Area|Forest, Jungle|Indoor Space",Meme
